iter	Passed	Remaining
410	4463	6397
411	4475	6386
412	4486	6376
413	4496	6364
414	4507	6354
415	4520	6346
416	4533	6338
417	4548	6333
418	4561	6325
419	4572	6315
420	4581	6300
421	4590	6287
422	4598	6273
423	4605	6256
424	4611	6239
425	4619	6224
426	4627	6209
427	4635	6195
428	4644	6181
429	4653	6168
430	4662	6155
431	4672	6142
432	4680	6129
433	4693	6120
434	4703	6108
435	4713	6096
436	4723	6084
437	4732	6072
438	4741	6059
439	4751	6047
440	4760	6034
441	4770	6021
442	4779	6009
443	4788	5996
444	4797	5982
445	4806	5969
446	4814	5956
447	4823	5943
448	4831	5929
449	4840	5916
450	4847	5901
451	4855	5886
452	4863	5872
453	4871	5858
454	4879	5844
455	4887	5831
456	4895	5816
457	4903	5802
458	4910	5787
459	4921	5777
460	4932	5766
461	4959	5775
462	4975	5771
463	4994	5769
464	5007	5761
465	5018	5750
466	5028	5739
467	5040	5729
468	5051	5719
469	5063	5710
470	5075	5700
471	5088	5692
472	5098	5680
473	5120	5682
474	5131	5671
475	5141	5659
476	5154	5651
477	5166	5641
478	5175	5629
479	5185	5617
480	5195	5606
481	5207	5596
482	5218	5586
483	5229	5575
484	5240	5564
485	5249	5552
486	5258	5539
487	5269	5528
488	5282	5519
489	5293	5509
490	5302	5497
491	5312	5484
492	5323	5475
493	5334	5464
494	5347	5456
495	5359	5445
496	5367	5432
497	5377	5421
498	5386	5408
499	5395	5395
500	5404	5382
501	5418	5375
502	5435	5371
503	5454	5368
504	5477	5368
505	5489	5359
506	5500	5349
507	5511	5337
508	5523	5327
509	5533	5316
510	5544	5305
511	5556	5295
512	5564	5282
513	5576	5272
514	5587	5261
515	5597	5250
516	5606	5238
517	5617	5226
518	5627	5215
519	5637	5203
520	5648	5193
521	5656	5179
522	5666	5168
523	5674	5154
524	5683	5142
525	5693	5130
526	5704	5119
527	5713	5107
528	5724	5096
529	5731	5082
530	5739	5069
531	5748	5057
532	5757	5044
533	5766	5031
534	5775	5019
535	5785	5007
536	5794	4996
537	5804	4984
538	5816	4974
539	5825	4962
540	5832	4948
541	5841	4936
542	5849	4923
543	5857	4910
544	5867	4898
545	5875	4885
546	5891	4878
547	5916	4879
548	5928	4869
549	5942	4861
550	5956	4853
551	5967	4843
552	5980	4834
553	5993	4824
554	6003	4813
555	6011	4800
556	6022	4789
557	6031	4777
558	6042	4767
559	6057	4759
560	6068	4748
561	6081	4739
562	6093	4730
563	6108	4722
564	6120	4712
565	6136	4705
566	6146	4694
567	6156	4682
568	6168	4672
569	6180	4662
570	6190	4651
571	6200	4639
572	6209	4627
573	6219	4615
574	6230	4605
575	6240	4593
576	6249	4581
577	6260	4571
578	6271	4560
579	6281	4548
580	6290	4536
581	6299	4524
582	6310	4513
583	6321	4503
584	6330	4491
585	6339	4478
586	6355	4471
587	6372	4464
588	6384	4455
589	6396	4445
590	6417	4441
591	6429	4430
592	6440	4420
593	6453	4411
594	6464	4400
595	6476	4390
596	6486	4378
597	6498	4368
598	6510	4358
599	6519	4346
600	6528	4334
601	6539	4323
602	6549	4311
603	6556	4298
604	6565	4286
605	6574	4274
606	6582	4261
607	6590	4249
608	6595	4234
609	6601	4220
610	6611	4209
611	6622	4198
612	6631	4186
613	6639	4174
614	6648	4161
615	6656	4149
616	6665	4137
617	6674	4125
618	6683	4113
619	6693	4102
620	6703	4091
621	6716	4081
622	6726	4070
623	6738	4060
624	6750	4050
625	6760	4039
626	6771	4028
627	6781	4016
628	6792	4006
629	6800	3993
630	6813	3984
631	6828	3975
632	6836	3963
633	6846	3952
634	6857	3941
635	6867	3930
636	6877	3919
637	6886	3907
638	6894	3895
639	6906	3884
640	6920	3875
641	6931	3865
642	6941	3853
643	6952	3843
644	6965	3833
645	6974	3822
646	6985	3810
647	6996	3800
648	7013	3793
